Most Played Artist based on Platform in ms,platform
artist_name,windows
Arctic Monkeys,202133
Atlas Genius,199426
Bloc Party,131731
Blondfire,203786
Blur,354333
Discovery,158133
Freddie King,171133
Funeral Suits,210653
James Gang,32137
JR JR,138706
Karmon,25227
Mystery Jets,199013
Parachute Youth,76491
Ra Ra Riot,151200
Stevie Ray Vaughan,409333
Ted Nugent,196440
The Beatles Recovered Band,6222
The Neighbourhood,347856
The Shins,238026
The Strokes,161100
Young Wonder,128748
Grand Total,3741827